Title,Genre,Episodes,Rating,Studio,StartYear,EndYear,Type
Naruto,Action,220,8.3,Studio Pierrot,2002,2007,TV
One Piece,Adventure,1000,9.0,Toei Animation,1999,0,TV
Your Name,Romance,1,8.4,CoMix Wave Films,2016,2016,Movie
Attack on Titan,Action,75,9.1,Wit Studio,2013,2021,TV
My Neighbor Totoro,Fantasy,1,8.2,Studio Ghibli,1988,1988,Movie
Fullmetal Alchemist: Brotherhood,Action,64,9.2,Bones,2009,2010,TV
Spirited Away,Fantasy,1,8.6,Studio Ghibli,2001,2001,Movie
Death Note,Thriller,37,8.7,Madhouse,2006,2007,TV
Dragon Ball Z,Action,291,8.1,Toei Animation,1989,1996,TV
Cowboy Bebop,Sci-Fi,26,8.9,Sunrise,1998,1999,TV
Demon Slayer,Action,26,8.8,Ufotable,2019,2019,TV
Neon Genesis Evangelion,Mecha,26,8.5,Gainax,1995,1996,TV
Sword Art Online,Adventure,25,7.6,A-1 Pictures,2012,2012,TV
Fate/Zero,Action,25,8.3,Ufotable,2011,2012,TV
Tokyo Ghoul,Horror,12,7.9,Pierrot,2014,2014,TV
One Punch Man,Action,12,8.8,Madhouse,2015,2015,TV
Bleach,Action,366,7.9,Pierrot,2004,2012,TV
Fairy Tail,Adventure,328,7.7,A-1 Pictures,2009,2019,TV
Black Clover,Adventure,170,8.2,Pierrot,2017,2021,TV
Gintama,Comedy,367,8.9,Sunrise,2006,2018,TV
Re:Zero,Fantasy,25,8.3,White Fox,2016,2016,TV
Steins;Gate,Sci-Fi,24,9.1,White Fox,2011,2011,TV
Hunter x Hunter,Adventure,148,9.0,Madhouse,2011,2014,TV
JoJo's Bizarre Adventure,Action,152,8.4,David Production,2012,2019,TV
Mob Psycho 100,Action,25,8.6,Bones,2016,2019,TV
Naruto Shippuden,Action,500,8.6,Studio Pierrot,2007,2017,TV
Dragon Ball,Action,153,8.5,Toei Animation,1986,1989,TV
Akira,Sci-Fi,1,8.0,TMS Entertainment,1988,1988,Movie
Ghost in the Shell,Sci-Fi,1,8.0,Production I.G,1995,1995,Movie
Princess Mononoke,Fantasy,1,8.4,Studio Ghibli,1997,1997,Movie
Code Geass,Mecha,50,8.7,Sunrise,2006,2008,TV
Hellsing Ultimate,Action,10,8.4,Madhouse,2006,2012,OVA
Kimi no Na wa,Romance,1,8.4,CoMix Wave Films,2016,2016,Movie
Howl's Moving Castle,Fantasy,1,8.2,Studio Ghibli,2004,2004,Movie
The Promised Neverland,Horror,23,8.6,CloverWorks,2019,2021,TV
Paranoia Agent,Thriller,13,8.0,Madhouse,2004,2004,TV
Elfen Lied,Horror,13,7.5,Arms,2004,2004,TV
Claymore,Action,26,7.8,Madhouse,2007,2007,TV
Inuyasha,Adventure,167,7.9,Sunrise,2000,2004,TV
Great Teacher Onizuka,Comedy,43,8.5,Pierrot,1999,2000,TV
Bakuman,Slice of Life,75,8.3,J.C.Staff,2010,2013,TV
Anohana,Drama,11,8.4,A-1 Pictures,2011,2011,TV
Samurai Champloo,Action,26,8.5,Manglobe,2004,2005,TV
Blue Exorcist,Action,25,7.5,A-1 Pictures,2011,2011,TV
Erased,Thriller,12,8.5,A-1 Pictures,2016,2016,TV
No Game No Life,Fantasy,12,8.3,Madhouse,2014,2014,TV
Psycho-Pass,Sci-Fi,22,8.4,Production I.G,2012,2013,TV
Noragami,Action,12,8.0,Bones,2014,2014,TV
The Seven Deadly Sins,Action,24,8.1,A-1 Pictures,2014,2015,TV
Yu Yu Hakusho,Adventure,112,8.5,Pierrot,1992,1995,TV
Kuroko no Basket,Sports,75,8.2,Production I.G,2012,2015,TV
Rurouni Kenshin,Adventure,95,8.3,Studio Gallop,1996,1998,TV
Trigun,Action,26,8.2,Madhouse,1998,1998,TV
Tengen Toppa Gurren Lagann,Mecha,27,8.7,Gainax,2007,2007,TV
